"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"GenericTest\EFICompliantTest","35","20","15"
"BootServicesTest\EventTimerandPriorityServicesTest","34","1","33"
"BootServicesTest\MemoryAllocationServicesTest","102","0","102"
"BootServicesTest\ProtocolHandlerServicesTest","1216","0","1216"
"BootServicesTest\ImageServicesTest","125","0","125"
"BootServicesTest\MiscBootServicesTest","132","12","120"
"RuntimeServicesTest\VariableServicesTest","57","6","51"
"RuntimeServicesTest\TimeServicesTest","41","7","34"
"RuntimeServicesTest\MiscRuntimeServicesTest","12","6","6"
"LoadedImageProtocolTest","2647","0","2647"
"DevicePathProcotols\DevicePathProcotolTest","54","0","54"
"DevicePathProcotols\DevicePathUtilitiesProcotolTest","21","0","21"
"DevicePathProcotols\DevicePathToTextProcotolTest","55","0","55"
"DevicePathProcotols\DevicePathFromTextProcotolTest","62","0","62"
"DriverModelTest\DriverDiagnostics2ProtocolTest","7","0","7"
"DriverModelTest\ComponentName2ProtocolTest","249","0","249"
"ConsoleSupportTest\SimpleTextInputExProtocolTest","22","0","22"
"ConsoleSupportTest\SimpleInputProtocolTest","8","0","8"
"ConsoleSupportTest\SimpleOutputProtocolTest","128","0","128"
"ConsoleSupportTest\SimplePointerProtocolTest","6","0","6"
"ConsoleSupportTest\SerialIOProtocolTest","18","8","10"
"ConsoleSupportTest\AbsolutePointerProtocolTest","6","0","6"
"MediaAccessTest\SimpleFileSystemProtocolTest","646","1","645"
"MediaAccessTest\DiskIOProtocolTest","30","0","30"
"MediaAccessTest\DiskIO2ProtocolTest","33","1","32"
"MediaAccessTest\BlockIOProtocolTest","54","0","54"
"MediaAccessTest\BlockIO2ProtocolTest","20","0","20"
"MediaAccessTest\StorageSecurityCommandProtocolTest","6","0","6"
"MediaAccessTest\NVMEPassThruTest","16","0","16"
"MediaAccessTest\PartitionInfo","7","0","7"
"StringServiceTest\UnicodeCollation2ProtocolTest","12","0","12"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","45","0","45"
"PCIBusSupportTest\PCIIOProtocolTest","148","0","148"
"CompressionTest\DecompressProtocolTest","12","0","12"
"ResetNotificationProtocolTest","8","1","7"
"HIITest\HIIDatabaseProtocolTest","50","0","50"
"HIITest\HIIStringProtocolTest","36","0","36"
"HIITest\HIIImageProtocolTest","26","0","26"
"HIITest\HIIImageExProtocolTest","30","0","30"
"HIITest\HIIFontProtocolTest","15","0","15"
"HIITest\HIIConfigRoutingProtocolTest","26","1","25"
"HIITest\ConfigKeywordHandlerTest","21","0","21"
"Total service\Protocol","6278","64","6214"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"GenericTest\EFICompliantTest","5.22.1.2.20","0","0","563F654F-ABA8-4539-804B-506305072623","FAIL","UEFI-Compliant - EFI_ATA_PASS_THRU_PROTOCOL must be implemented if a platform includes an I/O subsystem that utilizes ATA command packets.","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:3108:Ata Pass Thru - No","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","5.22.1.2.16","0","0","1D0A2F2A-0924-4B8C-9FC7-B185CC22E118","FAIL","UEFI-Compliant - Whether EBC Interpreter protocol must exist in this platform","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:3182:Status - Success, Expected - Success","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","5.22.1.2.21","0","0","2E6D1733-6D39-49AB-A886-1B6DE44566A8","FAIL","UEFI-Compliant - EFI_DNS4_PROTOCOL, EFI_DNS4_SERVICE_BINDING_PROTOCOL must be existed if the platform supports DNS for IPv4 stack.","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:3273:DNS4SB-N","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","5.22.1.2.22","0","0","E02A6EF3-4B70-40EC-AA23-50B7B972B065","FAIL","UEFI-Compliant - EFI_DNS6_PROTOCOL, EFI_DNS6_SERVICE_BINDING_PROTOCOL must be existed if the platform supports DNS for IPv6 stack.","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:3406:DNS6SB-N","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","5.22.1.2.23","0","0","CB6F7B77-0B15-43F7-A95B-8C7F9FD70B21","FAIL","UEFI-Compliant - EFI_TLS_PROTOCOL, EFI_TLS_SERVICE_BINDING_PROTOCOL, EFI_TLS_CONFIGURATION_PROTOCOL must be existed if the platform supports TLS feature.","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:3552:TLSSB-N, TLSConfig-N","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","5.22.1.2.24","0","0","77FDDB95-5969-4FB4-A218-5C0C760B0564","FAIL","UEFI-Compliant - EFI_HTTP_PROTOCOL, EFI_HTTP_SERVICE_BINDING_PROTOCOL, EFI_HTTP_UTILITIES_PROTOCOL must be existed if the platform includes the ability to perform a HTTP-based boot from a network device.","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:3702:HTTPSB-N, HTTP Utilities-N","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","5.22.1.2.25","0","0","F0DC12FA-3C4B-43F7-A69E-A5BE6FCC90A1","FAIL","UEFI-Compliant - EFI_EAP_PROTOCOL, EFI_EAP_CONFIGURATION_PROTOCOL, EFI_EAP_MANAGEMENT2_PROTOCOL must be existed if the platform includes the ability to perform a wireless boot from a network device with EAP feature, and if this platform provides a standalone wireless EAP driver.","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:3864:EAP - No, EAP Config - No, EAP Management2 - No","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","5.22.1.2.26","0","0","87E50392-F5A2-42B8-8112-68BEC902B9BC","FAIL","UEFI-Compliant - EFI_BLUETOOTH_HC_PROTOCOL, EFI_BLUETOOTH_IO_PROTOCOL, EFI_BLUETOOTH_CONFIG_PROTOCOL must be existed if the platform supports classic Bluetooth.","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:3963:BLUETOOTH HC - No, BLUETOOTH Service Binding - No, BLUETOOTH Config - No","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","","0","0","EFF461EB-4F56-44A5-895E-EE5EE42AD309","FAIL","UEFI Compliant - BlueTooth LE Support protocols must be implemented","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:4130:BLUETOOTH HC - No, BLUETOOTH Attribute - No, BLUETOOTH LE Config - No","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"GenericTest\EFICompliantTest","","0","0","B27660E2-0E87-4794-82F1-E6BDBD8B7442","FAIL","UEFI Compliant - IPsec protocols must be implemented","/home/user/SctPkg/TestCase/UEFI/EFI/Generic/EfiCompliant/BlackBoxTest/EfiCompliantBBTestPlatform_uefi.c:4223:IPSEC_CONFIG - No, IPSEC2 - No","0x00010001","A0A8BED3-3D6F-4AD8-907A-84D52EE1543B","No device path","PlatformSpecificElements_0_0_A0A8BED3-3D6F-4AD8-907A-84D52EE1543B.log"
"BootServicesTest\EventTimerandPriorityServicesTest","5.1.1.6.4","0","0","989BA6BC-08EB-4E98-AEA6-9FE8E87374A8","FAIL","BS.SetTimer - SetTimer() with type of TimerPeriodic, the notify function will be invoked more than once.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/EventTimerTaskPriorityServices/BlackBoxTest/EventTimerTaskPriorityServicesBBTestSetTimer.c:482:Status - Success, Count - 1","0x00010000","86BAAB81-D547-45F5-AE0F-8647FE91559D","No device path","SetTimer_Func_0_0_86BAAB81-D547-45F5-AE0F-8647FE91559D.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.17","0","0","F48D1C2D-1EBA-4E4C-A16D-748A01ABE6C1","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_APPLICATION.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1739:Count - 1D00000004, Count2 - 1D00000005, TPL - 4","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.18","0","0","E8B96EA0-6413-4947-AD1A-31EEF868A372","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_CALLBACK.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1739:Count - 1D00000008, Count2 - 1D00000009, TPL - 8","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.5.19","0","0","0EC16C83-177D-461A-9622-42508C99D966","FAIL","BS.GetNextMonotonicCount - GetNextMonotonicCount() gets the high 32-bit after reset at EFI_TPL_NOTIFY.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:1739:Count - 1D0000000C, Count2 - 1D0000000D, TPL - 16","0x00010001","D35AAEF2-55FB-4377-A07B-29DCA3201F19","No device path","GetNextMonotonicCount_Func_0_0_D35AAEF2-55FB-4377-A07B-29DCA3201F19.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.1.7","0","0","021FAE0D-CCA8-4658-92AB-4037C223E80F","FAIL","BS.SetWatchdogTimer - SetWatchdogTimer() enables the watchdog timer at EFI_TPL_APPLICATION","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:381:TPL - 4","0x00010001","F17B25A1-866B-4791-BC9C-BB3D19E4B3F8","No device path","SetWatchdogTimer_Func_0_0_F17B25A1-866B-4791-BC9C-BB3D19E4B3F8.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.1.19","0","0","F799CC16-ACCB-4D6D-A861-906C6AEA6509","FAIL","BS.SetWatchdogTimer - SetWatchdogTimer() enables the watchdog timer twice at EFI_TPL_APPLICATION.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:622:TPL - 4","0x00010001","F17B25A1-866B-4791-BC9C-BB3D19E4B3F8","No device path","SetWatchdogTimer_Func_0_0_F17B25A1-866B-4791-BC9C-BB3D19E4B3F8.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.1.8","0","0","13DCF833-8209-43D3-B670-308C352B511F","FAIL","BS.SetWatchdogTimer - SetWatchdogTimer() enables the watchdog timer at EFI_TPL_CALLBACK","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:381:TPL - 8","0x00010001","F17B25A1-866B-4791-BC9C-BB3D19E4B3F8","No device path","SetWatchdogTimer_Func_0_0_F17B25A1-866B-4791-BC9C-BB3D19E4B3F8.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.1.20","0","0","BB913CCF-026F-4E83-A386-2481A1E5876A","FAIL","BS.SetWatchdogTimer - SetWatchdogTimer() enables the watchdog timer twice at EFI_TPL_CALLBACK.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:622:TPL - 8","0x00010001","F17B25A1-866B-4791-BC9C-BB3D19E4B3F8","No device path","SetWatchdogTimer_Func_0_0_F17B25A1-866B-4791-BC9C-BB3D19E4B3F8.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.1.9","0","0","A2E5497C-AC0A-428A-BC6D-F512FBC07070","FAIL","BS.SetWatchdogTimer - SetWatchdogTimer() enables the watchdog timer at EFI_TPL_NOTIFY","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:381:TPL - 16","0x00010001","F17B25A1-866B-4791-BC9C-BB3D19E4B3F8","No device path","SetWatchdogTimer_Func_0_0_F17B25A1-866B-4791-BC9C-BB3D19E4B3F8.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.1.21","0","0","135894CB-C6E3-4345-B03B-FD3697103F03","FAIL","BS.SetWatchdogTimer - SetWatchdogTimer() enables the watchdog timer twice at EFI_TPL_NOTIFY.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:622:TPL - 16","0x00010001","F17B25A1-866B-4791-BC9C-BB3D19E4B3F8","No device path","SetWatchdogTimer_Func_0_0_F17B25A1-866B-4791-BC9C-BB3D19E4B3F8.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.2.4","0","0","93313097-5D74-4B92-859A-AB54E110DCDC","FAIL","BS.Stall - Stall() stalls the specified duration with 10 seconds at EFI_TPL_APPLICATION.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:875:TPL - 4, Start - 06/01/12  04:15a:16, End - 06/01/12  04:15a:16, Seconds - 0","0x00010001","539675B8-D9B3-4DC7-A8D0-FF19BBA13B86","No device path","Stall_Func_0_0_539675B8-D9B3-4DC7-A8D0-FF19BBA13B86.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.2.5","0","0","E169D151-3067-424D-9E5E-0DD741C8AB30","FAIL","BS.Stall - Stall() stalls the specified duration with 10 seconds at EFI_TPL_CALLBACK.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:875:TPL - 8, Start - 06/01/12  04:15a:16, End - 06/01/12  04:15a:16, Seconds - 0","0x00010001","539675B8-D9B3-4DC7-A8D0-FF19BBA13B86","No device path","Stall_Func_0_0_539675B8-D9B3-4DC7-A8D0-FF19BBA13B86.log"
"BootServicesTest\MiscBootServicesTest","5.1.5.2.6","0","0","8BCCA221-796D-4954-97D8-BD133B50D646","FAIL","BS.Stall - Stall() stalls the specified duration with 10 seconds at EFI_TPL_NOTIFY.","/home/user/SctPkg/TestCase/UEFI/EFI/BootServices/MiscBootServices/BlackBoxTest/MiscBootServicesBBTestFunction.c:875:TPL - 16, Start - 06/01/12  04:15a:16, End - 06/01/12  04:15a:16, Seconds - 0","0x00010001","539675B8-D9B3-4DC7-A8D0-FF19BBA13B86","No device path","Stall_Func_0_0_539675B8-D9B3-4DC7-A8D0-FF19BBA13B86.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.44","0","0","E9893BCB-EF2B-495C-82F0-D0630DA79476","FAIL","RT.SetVariable - SetVariable to enroll an invalid time based authenticated variable which signed by certificate but several bit changed. ","/home/user/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestConformance.c:226:Status - Invalid Parameter","0x00010000","28155531-80C5-4AD0-8471-A5E2AECF236C","No device path","AuthVar_Conf_0_0_28155531-80C5-4AD0-8471-A5E2AECF236C.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.45","0","0","2534ABC0-1F01-48A0-96DE-F8BBA745C364","FAIL","RT.SetVariable - SetVariable to enroll time based authenticated variable which signed by certificate with invalid attribute. ","Attributes = Array[1]. /home/user/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestConformance.c:259:Status - Invalid Parameter","0x00010000","28155531-80C5-4AD0-8471-A5E2AECF236C","No device path","AuthVar_Conf_0_0_28155531-80C5-4AD0-8471-A5E2AECF236C.log"
"RuntimeServicesTest\VariableServicesTest","","0","0","55AF8FAD-1B12-45AD-B042-A643962F0470","FAIL","RT.SetVariable - Set Auth Variable with invalid cert.","Attributes = Array[1]. /home/user/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestConformance.c:284:Status - Invalid Parameter","0x00010000","28155531-80C5-4AD0-8471-A5E2AECF236C","No device path","AuthVar_Conf_0_0_28155531-80C5-4AD0-8471-A5E2AECF236C.log"
"RuntimeServicesTest\VariableServicesTest","5.2.1.3.28","0","0","008E18A5-C345-48AE-9134-61A692E30B87","FAIL","RT.SetVariable - SetVariable to create one Time Base Auth Variable, the expect return status should be EFI_SUCCESS ","/home/user/SctPkg/TestCase/UEFI/EFI/RuntimeServices/VariableServices/BlackBoxTest/AuthVariableServicesBBTestFunction.c:636:Status - Invalid Parameter","0x00010000","9338D0EC-807B-4750-986A-8F2A91BB3616","No device path","AuthVar_Func_0_0_9338D0EC-807B-4750-986A-8F2A91BB3616.log"
